0,COMMENT VAS TU,*,*,Trés bien,comment.aiml
0,COMMENT TU VAS,*,*,Trés bien merci,comment.aiml
0,COMMENT CA VA,*,*,Trés bien merci et vous,comment.aiml
0,COMMENT CA VA *,*,*,Trés Trés bien,comment.aiml
0,COMMENT ÇA VA *,*,*,Trés Trés bien et vous,comment.aiml
0,COMMENT ÇA VA,*,*,Trés Trés bien et vous,comment.aiml
0,COMMENT VOUS ALLEZ,*,*,bien et vous,comment.aiml
0,COMMENT ALLEZ VOUS,*,*,bien et vous,comment.aiml
0,COMMENT EST TON *,*,*,a changer ici,comment.aiml
0,COMMENT VONT *,*,*,a changer ici,comment.aiml
0,COMMENT VOUS APELLEZ VOUS,*,*,Bill Gates,comment.aiml
0,COMMENT VOUS APPELLEZ VOUS,*,*,Bill Gates,comment.aiml
0,COMMENT TU T'APPELLES,*,*,Bill Gates,comment.aiml
0,COMMENT ILS S'APPELLENT,*,*,Jennifer Katharine Gates#Comma Phoebe Adele Gates et Rory John Gates,comment.aiml
